ID (Station ID),Station Names,Layout,Metro Line
320,Bahdurgarh City,Elevated,Green line
321,Brigadier Hoshiar Singh,Elevated,Green line
,,,
S301,Ashok Park Main,Elevated,Green line branch
S302,Satguru Ram Singh Marg,Elevated,Green line branch
S303,Kirti Nagar [Conn: Blue],At-Grade,Green line branch
,,,
401,Sector 53-54,Elevated,Rapid Metro
402,Sector 42-43,Elevated,Rapid Metro
403,DLF Phase 1 ,Elevated,Rapid Metro
404,Sikandarpur [Conn: Yellow],Elevated,Rapid Metro
405,DLF Phase 2 ,Elevated,Rapid Metro
406,Belvedere Towers ,Elevated,Rapid Metro
407,Cyber City ,Elevated,Rapid Metro
408,Moulsari Avenue,Elevated,Rapid Metro
409,DLF Phase 3 ,Elevated,Rapid Metro
,,,
501,Kashmere Gate [Conn: Yellow],Underground,Voilet line
502,Lal Quila,Underground,Voilet line
503,Jama Masjid,Underground,Voilet line
504,Delhi Gate,Underground,Voilet line
505,ITO,Underground,Voilet line
506,Mandi House [Conn: Blue],Underground,Voilet line
507,Janpath,Underground,Voilet line
508,Central Secretariat [Conn: Yellow],Underground,Voilet line
509,Khan Market,Underground,Voilet line
510,Jawaharlal Nehru Stadium,Underground,Voilet line
511,Jangpura,Underground,Voilet line
512,Lajpat Nagar [Conn: Pink],Elevated,Voilet line
513,Moolchand,Elevated,Voilet line
514,Kailash Colony,Elevated,Voilet line
515,Nehru Place,Elevated,Voilet line
516,Kalkaji Mandir [Conn: Magenta],Elevated,Voilet line
517,Govind Puri,Elevated,Voilet line
518,Okhla,Elevated,Voilet line
519,Jasola,Elevated,Voilet line
520,Sarita Vihar,Elevated,Voilet line
521,Mohan Estate,Elevated,Voilet line
522,Tughlakabad,Elevated,Voilet line
523,Badarpur Border,Elevated,Voilet line
524,Sarai,Elevated,Voilet line
525,N.H.P.C. Chowk,Elevated,Voilet line
526,Mewala Maharajpur,Elevated,Voilet line
527,Sector 28 Faridabad,Elevated,Voilet line
528,Badkal Mor,Elevated,Voilet line
529,Old Faridabad,Elevated,Voilet line
530,Neelam Chowk Ajronda,Elevated,Voilet line
531,Bata Chowk,Elevated,Voilet line
532,Escorts Mujesar,Elevated,Voilet line
533,Sant Surdas - Sihi,Elevated,Voilet line
534,Raja Nahar Singh,Elevated,Voilet line
,,,
601,Janak Puri West [Conn: Blue],Underground,Magenta line
602,Dabri Mor - Janakpuri South,Underground,Magenta line
603,Dashrath Puri,Underground,Magenta line
604,Palam,Underground,Magenta line
605,Sadar Bazaar Cantonment,Elevated,Magenta line
606,Terminal 1 IGI Airport,Underground,Magenta line
607,Shankar Vihar,Elevated,Magenta line
608,Vasant Vihar,Underground,Magenta line
609,Munirka,Underground,Magenta line
610,RK Puram,Underground,Magenta line
611,IIT Delhi,Underground,Magenta line
612,Hauz Khas [Conn: Yellow],Underground,Magenta line
613,Panchsheel Park,Underground,Magenta line
614,Chirag Delhi,Underground,Magenta line
615,Greater Kailash,Underground,Magenta line
616,Nehru Enclave,Underground,Magenta line
617,Kalkaji Mandir [Conn: Violet],Underground,Magenta line
618,Okhla NSIC,Elevated,Magenta line
619,Sukhdev Vihar,Elevated,Magenta line
620,JAMIA MILLIA ISLAMIA,Elevated,Magenta line
621,Okhla Vihar,Elevated,Magenta line
622,Jasola Vihar Shaheen Bagh,Elevated,Magenta line
623,Kalindi Kunj,Elevated,Magenta line
624,Okhla Bird Sanctuary,Elevated,Magenta line
625,Botanical Garden [Conn: Blue],Elevated,Magenta line
,,,
701,Majlis Park,Elevated,Pink line
702,Azadpur [Conn: Yellow],Underground,Pink line
703,Shalimar Bagh,Underground,Pink line
704,Netaji Subash Place [Conn: Red],Underground,Pink line
705,Shakurpur,Elevated,Pink line
706,Punjabi Bagh West,Elevated,Pink line
707,ESI BASAI DARAPUR,Elevated,Pink line
708,Rajouri Garden [Conn: Blue],Elevated,Pink line
709,Maya Puri,Elevated,Pink line
710,Naraina Vihar,Underground,Pink line
711,Delhi Cantt,Elevated,Pink line
712,Durgabai Deshmukh South Campus [Conn: Orange],Elevated,Pink line
713,Sir Vishweshwaraiah Moti Bagh,Elevated,Pink line
714,Bhikaji Cama Place,Underground,Pink line
715,Sarojini Nagar,Underground,Pink line
716,Dilli Haat INA [Conn: Yellow],Underground,Pink line
717,South Extension,Underground,Pink line
718,Lajpat Nagar [Conn: Violet],Underground,Pink line
719,Vinobapuri,Underground,Pink line
720,Ashram,Underground,Pink line
721,Sarai Kale Khan Hazrat Nizamuddin,Underground,Pink line
722,Mayur Vihar Phase-1 [Conn: Blue],Elevated,Pink line
723,Mayur Vihar Pocket I,Elevated,Pink line
724,Trilokpuri Sanjay Lake,Elevated,Pink line
725,Vinod Nagar East,Elevated,Pink line
726,Mandawali - West Vinod Nagar,Elevated,Pink line
727,IP Extension,Elevated,Pink line
728,Anand Vihar [Conn: Blue],Elevated,Pink line
729,Karkar Duma [Conn: Blue],Elevated,Pink line
730,Karkarduma Court,Elevated,Pink line
731,Krishna Nagar,Elevated,Pink line
732,East Azad Nagar,Elevated,Pink line
733,Welcome [Conn: Red],Elevated,Pink line
734,Jaffrabad,Elevated,Pink line
735,Maujpur,Elevated,Pink line
736,Gokulpuri,Elevated,Pink line
737,Johri Enclave,Elevated,Pink line
738,Shiv Vihar,Elevated,Pink line
,,,
801,Noida Sector 51 [Conn: Blue],Elevated,Aqua line
802,Noida Sector 50,Elevated,Aqua line
803,Noida Sector 76,Elevated,Aqua line
804,Noida Sector 101,Elevated,Aqua line
805,Noida Sector 81,Elevated,Aqua line
806,NSEZ Noida,Elevated,Aqua line
807,Noida Sector 83,Elevated,Aqua line
808,Noida Sector 137,Elevated,Aqua line
809,Noida Sector 142,Elevated,Aqua line
810,Noida Sector 143,Elevated,Aqua line
811,Noida Sector 144,Elevated,Aqua line
812,Noida Sector 145,Elevated,Aqua line
813,Noida Sector 146,Elevated,Aqua line
814,Noida Sector 147,Elevated,Aqua line
815,Noida Sector 148,Elevated,Aqua line
816,Knowledge Park II,Elevated,Aqua line
817,Pari Chowk Greater Noida,Elevated,Aqua line
818,Alpha 1 Greater Noida,Elevated,Aqua line
819,Delta 1 Greater Noida,Elevated,Aqua line
820,GNIDA Office,Elevated,Aqua line
821,Depot Greater Noida,Elevated,Aqua line
,,,
901,Dwarka [Conn: Blue],Elevated,Gray line
902,Nangli,Elevated,Gray line
903,Najafgarh,Underground,Gray line
904,Dhana Bus Stand,Elevated,Gray line
,,,
1001,New Delhi-Airport Express [Conn: Yellow],Underground,Orange line
1002,Shivaji Stadium,Underground,Orange line
1003,Dhaula Kuan [Conn: Pink],Elevated,Orange line
1004,Delhi Aerocity,Underground,Orange line
1005,IGI Airport,Underground,Orange line
1006,Dwarka Sector 21 [Conn: Blue],Underground,Orange line
